model_key,model_label,person_index,action_verb_count,bullet_count,char_count,explanation_connector_count,line_count,medical_disclaimer_present,numeric_evidence_count,required_heading_count,required_heading_coverage,word_count,quality_status,generation_seconds,predicted_body_age_years
teacher_qwen25_7b,Teacher: Qwen2.5-7B,72,10,25,2494,1,25,1,18,5,1.0,344,passed,61.307,35.34
teacher_qwen25_7b,Teacher: Qwen2.5-7B,73,14,27,2894,0,27,1,22,5,1.0,400,passed,71.27600000000002,43.66
teacher_qwen25_7b,Teacher: Qwen2.5-7B,74,11,20,2789,3,20,1,18,5,1.0,396,passed,67.43,87.74
teacher_qwen25_7b,Teacher: Qwen2.5-7B,75,12,26,2632,2,26,1,18,5,1.0,372,passed,65.584,58.29
teacher_qwen25_7b,Teacher: Qwen2.5-7B,76,12,29,3380,2,29,1,20,5,1.0,466,passed,78.881,29.08
teacher_qwen25_7b,Teacher: Qwen2.5-7B,77,15,24,2580,2,24,1,13,5,1.0,356,passed,57.18600000000001,58.84
teacher_qwen25_7b,Teacher: Qwen2.5-7B,78,12,21,2316,3,21,1,17,5,1.0,325,passed,55.032,36.48
teacher_qwen25_7b,Teacher: Qwen2.5-7B,79,14,27,3062,2,27,1,23,5,1.0,419,passed,75.696,41.76
teacher_qwen25_7b,Teacher: Qwen2.5-7B,80,10,23,2413,1,23,1,14,5,1.0,329,passed,56.6,31.82
teacher_qwen25_7b,Teacher: Qwen2.5-7B,81,16,23,2352,1,23,1,11,5,1.0,313,passed,51.361,18.0
teacher_qwen25_7b,Teacher: Qwen2.5-7B,82,11,25,2690,3,25,1,19,5,1.0,373,passed,66.699,24.83
teacher_qwen25_7b,Teacher: Qwen2.5-7B,83,17,28,3083,0,28,1,20,5,1.0,435,passed,74.857,72.4
teacher_qwen25_7b,Teacher: Qwen2.5-7B,84,9,20,2778,3,20,1,10,5,1.0,391,passed,61.627,61.99
teacher_qwen25_7b,Teacher: Qwen2.5-7B,85,13,24,2788,1,24,1,17,5,1.0,396,passed,67.61399999999999,76.73
teacher_qwen25_7b,Teacher: Qwen2.5-7B,86,15,30,3174,3,30,1,19,5,1.0,436,passed,76.82600000000002,71.62
teacher_qwen25_7b,Teacher: Qwen2.5-7B,87,14,32,3108,2,32,1,19,5,1.0,419,passed,76.278,54.43
teacher_qwen25_7b,Teacher: Qwen2.5-7B,88,14,26,2603,0,26,1,19,5,1.0,357,passed,62.323,37.85
teacher_qwen25_7b,Teacher: Qwen2.5-7B,89,12,22,2435,1,22,1,10,5,1.0,336,passed,52.655,75.16
teacher_qwen25_7b,Teacher: Qwen2.5-7B,90,13,27,2688,1,27,1,12,5,1.0,355,review_needed,58.153,48.53
teacher_qwen25_7b,Teacher: Qwen2.5-7B,91,9,26,2708,0,26,1,12,5,1.0,371,passed,61.483,62.18
teacher_qwen25_7b,Teacher: Qwen2.5-7B,92,13,19,2308,1,19,1,12,5,1.0,321,passed,54.419,79.18
teacher_qwen25_7b,Teacher: Qwen2.5-7B,93,14,31,3206,1,31,1,29,5,1.0,450,passed,82.374,73.53
teacher_qwen25_7b,Teacher: Qwen2.5-7B,94,14,27,3093,2,27,1,23,5,1.0,443,passed,75.363,89.0
teacher_qwen25_7b,Teacher: Qwen2.5-7B,95,11,31,2963,0,31,1,19,5,1.0,406,passed,72.778,65.33
teacher_qwen25_7b,Teacher: Qwen2.5-7B,96,12,19,2235,1,19,1,9,5,1.0,307,passed,47.716,38.96
teacher_qwen25_7b,Teacher: Qwen2.5-7B,97,10,27,2673,2,27,1,18,5,1.0,367,passed,61.722,25.05
teacher_qwen25_7b,Teacher: Qwen2.5-7B,98,10,26,2668,0,26,1,20,5,1.0,368,passed,66.457,49.05
teacher_qwen25_7b,Teacher: Qwen2.5-7B,99,15,30,3217,1,30,1,14,5,1.0,443,passed,73.26899999999998,65.01
teacher_qwen25_7b,Teacher: Qwen2.5-7B,100,10,28,2973,2,28,1,22,5,1.0,415,passed,72.172,28.06
teacher_qwen25_7b,Teacher: Qwen2.5-7B,101,16,24,2637,1,24,1,13,5,1.0,378,passed,62.959,78.95
teacher_qwen25_7b,Teacher: Qwen2.5-7B,102,9,23,2779,1,23,1,22,5,1.0,388,passed,68.42,47.95
teacher_qwen25_7b,Teacher: Qwen2.5-7B,103,16,25,2590,0,25,1,23,5,1.0,360,passed,65.586,46.72
teacher_qwen25_7b,Teacher: Qwen2.5-7B,104,11,21,2708,2,21,1,10,5,1.0,366,passed,58.67,86.28
teacher_qwen25_7b,Teacher: Qwen2.5-7B,105,8,21,2249,1,21,1,12,5,1.0,308,passed,50.666,80.77
teacher_qwen25_7b,Teacher: Qwen2.5-7B,106,15,30,3038,1,30,1,19,5,1.0,418,passed,74.351,57.82
teacher_qwen25_7b,Teacher: Qwen2.5-7B,107,15,25,2641,0,25,1,19,5,1.0,376,passed,65.78,40.75
teacher_qwen25_7b,Teacher: Qwen2.5-7B,108,12,26,3011,1,26,1,19,5,1.0,436,passed,72.642,73.7
teacher_qwen25_7b,Teacher: Qwen2.5-7B,109,14,21,2781,2,21,1,12,5,1.0,400,review_needed,63.021,66.87
teacher_qwen25_7b,Teacher: Qwen2.5-7B,110,15,26,2713,1,26,1,20,5,1.0,374,passed,68.471,38.83
teacher_qwen25_7b,Teacher: Qwen2.5-7B,111,14,27,2701,2,27,1,15,5,1.0,370,passed,64.623,57.03
teacher_qwen25_7b,Teacher: Qwen2.5-7B,112,18,37,3222,2,37,1,21,5,1.0,440,passed,76.958,21.49
teacher_qwen25_7b,Teacher: Qwen2.5-7B,113,11,25,3047,2,25,1,14,5,1.0,440,passed,72.122,23.11
teacher_qwen25_7b,Teacher: Qwen2.5-7B,114,12,27,2507,1,27,1,15,5,1.0,338,passed,60.449,49.95
teacher_qwen25_7b,Teacher: Qwen2.5-7B,115,12,18,2502,0,18,1,14,5,1.0,355,passed,56.213,59.8
teacher_qwen25_7b,Teacher: Qwen2.5-7B,116,13,27,2784,1,27,1,18,5,1.0,379,passed,68.57,40.45
teacher_qwen25_7b,Teacher: Qwen2.5-7B,117,15,25,2450,0,25,1,23,5,1.0,336,passed,63.422,38.96
teacher_qwen25_7b,Teacher: Qwen2.5-7B,118,13,28,2996,2,28,1,22,5,1.0,421,passed,73.898,42.43
teacher_qwen25_7b,Teacher: Qwen2.5-7B,119,15,34,2809,2,34,1,18,5,1.0,378,passed,66.992,44.78
teacher_qwen25_7b,Teacher: Qwen2.5-7B,120,14,25,2874,2,25,1,21,5,1.0,402,passed,69.707,80.77
teacher_qwen25_7b,Teacher: Qwen2.5-7B,121,12,26,2545,2,26,1,18,5,1.0,358,passed,61.854,62.44
teacher_qwen25_7b,Teacher: Qwen2.5-7B,122,13,22,2868,0,22,1,22,5,1.0,406,passed,71.491,71.84
teacher_qwen25_7b,Teacher: Qwen2.5-7B,123,13,25,2762,2,25,1,16,5,1.0,381,passed,64.089,33.61
teacher_qwen25_7b,Teacher: Qwen2.5-7B,124,15,29,2763,0,29,1,17,5,1.0,380,passed,66.22,41.25
teacher_qwen25_7b,Teacher: Qwen2.5-7B,125,11,22,2634,3,22,1,10,5,1.0,351,passed,57.368,49.41
teacher_qwen25_7b,Teacher: Qwen2.5-7B,126,13,25,2465,0,25,1,16,5,1.0,337,passed,59.202,32.97
teacher_qwen25_7b,Teacher: Qwen2.5-7B,127,12,24,2636,0,24,1,19,5,1.0,364,passed,63.502,70.55
teacher_qwen25_7b,Teacher: Qwen2.5-7B,128,9,24,2853,3,24,1,14,5,1.0,396,passed,65.421,49.4
teacher_qwen25_7b,Teacher: Qwen2.5-7B,129,13,26,2600,1,26,1,17,5,1.0,366,passed,64.275,48.64
teacher_qwen25_7b,Teacher: Qwen2.5-7B,130,15,25,2850,4,25,1,15,5,1.0,387,passed,63.715,70.21
teacher_qwen25_7b,Teacher: Qwen2.5-7B,131,13,22,2614,2,22,1,18,5,1.0,364,passed,65.016,73.89
teacher_qwen25_7b,Teacher: Qwen2.5-7B,132,12,20,2339,2,20,1,15,5,1.0,335,passed,56.099,33.52
teacher_qwen25_7b,Teacher: Qwen2.5-7B,133,12,25,2818,1,25,1,14,5,1.0,394,passed,65.04899999999999,63.73
teacher_qwen25_7b,Teacher: Qwen2.5-7B,134,14,19,2758,0,19,1,14,5,1.0,387,passed,63.46,58.25
