action_verb_count,bullet_count,category_alcohol,category_checks,category_diet,category_exercise,category_follow-up,category_sleep,category_smoking,category_stress,distillation_id,explanation_connector_count,feature_Activity,feature_Alcohol,feature_BMI,feature_Blood Glucose,feature_Blood Pressure,feature_Cholesterol,feature_Diet,feature_Mental Health,feature_Predicted Body Age,feature_Sleep,feature_Smoking,feature_Stress,feature_evidence_count,forbidden_term_count,key_signal_coverage,medical_disclaimer_present,numeric_evidence_count,person_index,quality_score,recommendation_category_count,required_heading_count,required_heading_coverage,response_source,word_count
6,13,1,1,1,1,1,1,1,1,22,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,24,22,80.4,8,5,1.0,Local rule-based fallback,224
13,33,1,1,1,1,1,1,1,1,23,4,1,1,1,1,1,1,1,0,0,1,1,1,10,0,0.8571428571428571,0,20,23,90.14285714285714,8,5,1.0,Qwen teacher distillation,442
6,15,1,1,1,1,1,1,1,1,23,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,26,23,80.71428571428571,8,5,1.0,Local rule-based fallback,235
13,26,1,1,1,1,1,1,1,1,24,4,1,1,1,1,1,1,1,0,0,1,1,1,10,0,1.0,0,18,24,93.0,8,5,1.0,Qwen teacher distillation,357
6,15,1,1,1,1,1,1,1,1,24,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,24,24,80.54285714285714,8,5,1.0,Local rule-based fallback,229
13,21,1,1,1,1,1,1,1,1,25,6,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,0,15,25,95.0,8,5,1.0,Qwen teacher distillation,357
6,15,1,1,1,1,1,1,1,1,25,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,26,25,80.74285714285715,8,5,1.0,Local rule-based fallback,236
17,41,1,1,1,1,1,1,1,1,26,5,1,1,1,1,1,1,1,0,0,1,1,1,10,0,1.0,0,20,26,95.0,8,5,1.0,Qwen teacher distillation,421
6,14,1,1,1,1,1,1,1,1,26,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,26,80.51428571428572,8,5,1.0,Local rule-based fallback,228
14,25,1,1,1,1,1,1,1,1,27,3,1,1,1,1,1,1,1,0,0,1,1,1,10,0,1.0,0,14,27,90.62857142857143,8,5,1.0,Qwen teacher distillation,337
